Borough,Neighborhood,Zip Code
Arlington,Pentagon City,22350
Arlington,Pentagon City,22225
Arlington,Crystal City,22202
Washington,District Of Columbia,20001
Washington,District Of Columbia,20002
Washington,District Of Columbia,20003
Washington,District Of Columbia,20004
Washington,District Of Columbia,20005
Washington,District Of Columbia,20006
Washington,District Of Columbia,20007
Washington,District Of Columbia,20008
Washington,District Of Columbia,20009
Washington,District Of Columbia,20010
Washington,District Of Columbia,20011
Washington,District Of Columbia,20012
Washington,District Of Columbia,20013
Washington,District Of Columbia,20015
Washington,District Of Columbia,20016
Washington,District Of Columbia,20017
Washington,District Of Columbia,20018
Washington,District Of Columbia,20019
Washington,District Of Columbia,20020
Washington,District Of Columbia,20022
Washington,District Of Columbia,20023
Washington,District Of Columbia,20024
Washington,District Of Columbia,20026
Washington,District Of Columbia,20027
Washington,District Of Columbia,20029
Washington,District Of Columbia,20030
Washington,District Of Columbia,20032
Washington,District Of Columbia,20033
Washington,District Of Columbia,20035
Washington,District Of Columbia,20036
Washington,District Of Columbia,20037
Washington,District Of Columbia,20038
Washington,District Of Columbia,20039
Washington,District Of Columbia,20040
Washington,District Of Columbia,20041
Washington,District Of Columbia,20042
Washington,District Of Columbia,20043
Washington,District Of Columbia,20044
Washington,District Of Columbia,20045
Washington,District Of Columbia,20046
Washington,District Of Columbia,20047
Washington,District Of Columbia,20049
Washington,District Of Columbia,20050
Washington,District Of Columbia,20051
Washington,District Of Columbia,20052
Washington,District Of Columbia,20053
Washington,District Of Columbia,20055
Washington,District Of Columbia,20056
Washington,District Of Columbia,20057
Washington,District Of Columbia,20058
Washington,District Of Columbia,20059
Washington,District Of Columbia,20060
Washington,District Of Columbia,20061
Washington,District Of Columbia,20062
Washington,District Of Columbia,20063
Washington,District Of Columbia,20064
Washington,District Of Columbia,20065
Washington,District Of Columbia,20066
Washington,District Of Columbia,20067
Washington,District Of Columbia,20068
Washington,District Of Columbia,20069
Washington,District Of Columbia,20070
Washington,District Of Columbia,20071
Washington,District Of Columbia,20073
Washington,District Of Columbia,20074
Washington,District Of Columbia,20075
Washington,District Of Columbia,20076
Washington,District Of Columbia,20077
Washington,District Of Columbia,20078
Washington,District Of Columbia,20080
Washington,District Of Columbia,20081
Washington,District Of Columbia,20082
Washington,District Of Columbia,20088
Washington,District Of Columbia,20090
Washington,District Of Columbia,20091
Washington,District Of Columbia,20097
Washington,District Of Columbia,20098
Washington,District Of Columbia,20201
Washington,District Of Columbia,20202
Washington,District Of Columbia,20203
Washington,District Of Columbia,20204
Washington,District Of Columbia,20206
Washington,District Of Columbia,20207
Washington,District Of Columbia,20208
Washington,District Of Columbia,20210
Washington,District Of Columbia,20211
Washington,District Of Columbia,20212
Washington,District Of Columbia,20213
Washington,District Of Columbia,20214
Washington,District Of Columbia,20215
Washington,District Of Columbia,20216
Washington,District Of Columbia,20217
Washington,District Of Columbia,20218
Washington,District Of Columbia,20219
Washington,District Of Columbia,20220
Washington,District Of Columbia,20221
Washington,District Of Columbia,20222
Washington,District Of Columbia,20223
Washington,District Of Columbia,20224
Washington,District Of Columbia,20226
Washington,District Of Columbia,20227
Washington,District Of Columbia,20228
Washington,District Of Columbia,20229
Washington,District Of Columbia,20230
Washington,District Of Columbia,20232
Washington,District Of Columbia,20233
Washington,District Of Columbia,20235
Washington,District Of Columbia,20237
Washington,District Of Columbia,20238
Washington,District Of Columbia,20239
Washington,District Of Columbia,20240
Washington,District Of Columbia,20241
Washington,District Of Columbia,20242
Washington,District Of Columbia,20244
Washington,District Of Columbia,20245
Washington,District Of Columbia,20250
Washington,District Of Columbia,20251
Washington,District Of Columbia,20254
Washington,District Of Columbia,20260
Washington,District Of Columbia,20261
Washington,District Of Columbia,20262
Washington,District Of Columbia,20265
Washington,District Of Columbia,20266
Washington,District Of Columbia,20268
Washington,District Of Columbia,20270
Washington,District Of Columbia,20277
Washington,District Of Columbia,20289
Washington,District Of Columbia,20299
Washington,District Of Columbia,20301
Washington,District Of Columbia,20303
Washington,District Of Columbia,20306
Washington,District Of Columbia,20307
Washington,District Of Columbia,20310
Washington,District Of Columbia,20314
Washington,District Of Columbia,20317
Washington,District Of Columbia,20318
Washington,District Of Columbia,20319
Washington,District Of Columbia,20330
Washington,District Of Columbia,20340
Washington,District Of Columbia,20350
Washington,District Of Columbia,20355
Washington,District Of Columbia,20370
Washington,District Of Columbia,20372
Naval Anacost Annex,District Of Columbia,20373
Washington Navy Yard,District Of Columbia,20374
Washington,District Of Columbia,20375
Washington Navy Yard,District Of Columbia,20376
Washington,District Of Columbia,20380
Washington Navy Yard,District Of Columbia,20388
Washington,District Of Columbia,20389
Washington,District Of Columbia,20390
Washington Navy Yard,District Of Columbia,20391
Washington,District Of Columbia,20392
Washington,District Of Columbia,20393
Washington,District Of Columbia,20394
Washington,District Of Columbia,20395
Washington Navy Yard,District Of Columbia,20398
Washington,District Of Columbia,20401
Washington,District Of Columbia,20402
Washington,District Of Columbia,20403
Washington,District Of Columbia,20404
Washington,District Of Columbia,20405
Washington,District Of Columbia,20406
Washington,District Of Columbia,20407
Washington,District Of Columbia,20408
Washington,District Of Columbia,20409
Washington,District Of Columbia,20410
Washington,District Of Columbia,20411
Washington,District Of Columbia,20412
Washington,District Of Columbia,20413
Washington,District Of Columbia,20414
Washington,District Of Columbia,20415
Washington,District Of Columbia,20416
Washington,District Of Columbia,20418
Washington,District Of Columbia,20419
Washington,District Of Columbia,20420
Washington,District Of Columbia,20421
Washington,District Of Columbia,20422
Washington,District Of Columbia,20423
Washington,District Of Columbia,20424
Washington,District Of Columbia,20425
Washington,District Of Columbia,20426
Washington,District Of Columbia,20427
Washington,District Of Columbia,20428
Washington,District Of Columbia,20429
Washington,District Of Columbia,20431
Washington,District Of Columbia,20433
Washington,District Of Columbia,20434
Washington,District Of Columbia,20435
Washington,District Of Columbia,20436
Washington,District Of Columbia,20437
Washington,District Of Columbia,20439
Washington,District Of Columbia,20440
Washington,District Of Columbia,20441
Washington,District Of Columbia,20442
Washington,District Of Columbia,20444
Washington,District Of Columbia,20447
Washington,District Of Columbia,20451
Washington,District Of Columbia,20453
Washington,District Of Columbia,20456
Washington,District Of Columbia,20460
Washington,District Of Columbia,20463
Washington,District Of Columbia,20468
Washington,District Of Columbia,20469
Washington,District Of Columbia,20470
Washington,District Of Columbia,20472
Washington,District Of Columbia,20500
Washington,District Of Columbia,20501
Washington,District Of Columbia,20502
Washington,District Of Columbia,20503
Washington,District Of Columbia,20504
Washington,District Of Columbia,20505
Washington,District Of Columbia,20506
Washington,District Of Columbia,20507
Washington,District Of Columbia,20508
Washington,District Of Columbia,20509
Washington,District Of Columbia,20510
Washington,District Of Columbia,20511
Washington,District Of Columbia,20515
Washington,District Of Columbia,20520
Washington,District Of Columbia,20521
Washington,District Of Columbia,20522
Washington,District Of Columbia,20523
Washington,District Of Columbia,20524
Washington,District Of Columbia,20525
Washington,District Of Columbia,20526
Washington,District Of Columbia,20527
Washington,District Of Columbia,20528
Washington,District Of Columbia,20529
Washington,District Of Columbia,20530
Washington,District Of Columbia,20531
Washington,District Of Columbia,20532
Washington,District Of Columbia,20533
Washington,District Of Columbia,20534
Washington,District Of Columbia,20535
Washington,District Of Columbia,20536
Washington,District Of Columbia,20537
Washington,District Of Columbia,20538
Washington,District Of Columbia,20539
Washington,District Of Columbia,20540
Washington,District Of Columbia,20541
Washington,District Of Columbia,20542
Washington,District Of Columbia,20543
Washington,District Of Columbia,20544
Washington,District Of Columbia,20546
Washington,District Of Columbia,20547
Washington,District Of Columbia,20548
Washington,District Of Columbia,20549
Washington,District Of Columbia,20551
Washington,District Of Columbia,20552
Washington,District Of Columbia,20553
Washington,District Of Columbia,20554
Washington,District Of Columbia,20555
Washington,District Of Columbia,20557
Washington,District Of Columbia,20558
Washington,District Of Columbia,20559
Washington,District Of Columbia,20560
Washington,District Of Columbia,20565
Washington,District Of Columbia,20566
Washington,District Of Columbia,20570
Washington,District Of Columbia,20571
Washington,District Of Columbia,20572
Washington,District Of Columbia,20573
Washington,District Of Columbia,20575
Washington,District Of Columbia,20576
Washington,District Of Columbia,20577
Washington,District Of Columbia,20578
Washington,District Of Columbia,20579
Washington,District Of Columbia,20580
Washington,District Of Columbia,20581
Washington,District Of Columbia,20585
Washington,District Of Columbia,20586
Washington,District Of Columbia,20590
Washington,District Of Columbia,20591
Washington,District Of Columbia,20593
Washington,District Of Columbia,20594
Washington,District Of Columbia,20597
Washington,District Of Columbia,20599
Washington,District Of Columbia,56901
Washington,District Of Columbia,56915
Washington,District Of Columbia,56920
Washington,District Of Columbia,56933
Washington,District Of Columbia,56944
Washington,District Of Columbia,56972
,,
,,5-Digit ZIP Code Data
,,
,,ZIP Code Radius Search Script
,,Zip Codes FAQ
,,Privacy Policy
,,
,,Zip Code Lookups
,,
,,Find ZIP Codes by City Name
,,County Zip Code List
,,ZIP Codes by State
,,Zip Code Radius Search
,,
,,Database Sample Data
,,
,,ZIP Code Database
,,Sample Data
,,
,,Microsoft Access (.MDB)
116 KB,160 KB,136 KB
,,Microsoft Excel (.XLS)
20 KB,30 KB,16 KB
,,Comma Delimited ASCII (.CSV)
4 KB,8 KB,2 KB